page_number,listing_number,title,location,address,description,bedrooms,bathrooms,parking spaces,size,price,listing_link,agency
1,116990302,3 Bedroom House,Karen,"Karen Karen, Karen, Nairobi","Modern 3-Bedroom Bungalow To Let in Karen
Rent: KES 220,000 per month
This beautiful and",3,2,,180 m²,KSh 220 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-116990302,
1,116990147,3 Bedroom Apartment / Flat,Karen,"Marist Ln Nairobi, Karen, Nairobi","THREE BEDROOM APARTMENT FOR RENT IN KAREN KSH 80,000
Located at hillcrest is this gorgeous",3,2,,180 m²,KSh 80 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-karen-116990147,
1,116987952,3 Bedroom Apartment / Flat,Westlands,"Brookside Dr, Westlands, Nairobi",Experience comfort and exclusivity in this elegant apartment located in the serene,3,4,2,135 m²,KSh 120 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-westlands-116987952,Trisums Investments Co. Ltd
1,116988696,5 Bedroom House,Runda,"QRP7+CQP Runda Grove, Runda, Nairobi","5-bedroom standalone house to let

?? Rent: KES 350,000 per month

Experience tranquil",5,5,3,265 m²,KSh 350 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-runda-116988696,Trisums Investments Co. Ltd
1,116988380,5 Bedroom House,Runda,"Runda Kitisuru, Runda, Nairobi",Experience tranquil living in the heart of Runda with this elegant and spacious 5-bedroom,5,5,3,235 m²,KSh 350 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-runda-116988380,Trisums Investments Co. Ltd
1,116983120,4 Bedroom House,Karen,"MMWG+P38 Karen, Karen, Nairobi","Elegant 4-Bedroom Standalone Bungalow for Rent/Sale – Karen End
 Location: Karen End,",4,3,,300 m²,KSh 150 000,https://www.property24.co.ke/4-bedroom-house-to-rent-in-karen-116983120,
1,101743003,3 Bedroom House,Karen,"Windy Ridge Karen, Karen, Nairobi","3-Bedroom Bungalow to Let in Karen – Windy Ridge
This newly built 3-bedroom bungalow is",3,3,,180 m²,KSh 180 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-101743003,
1,116983066,4 Bedroom House,Karen,"Langata Link Rd Nairobi, Karen, Nairobi","Elegant 4-Bedroom Villa To Let in Karen

Rent: KES 250,000 per month

This charming",4,4,2,300 m²,KSh 250 000,https://www.property24.co.ke/4-bedroom-house-to-rent-in-karen-116983066,
1,116990324,3 Bedroom House,Karen,"Windy Ridge Karen, Karen, Nairobi","3-Bedroom Bungalow to Let in Karen – Windy Ridge
This newly built 3-bedroom bungalow is",3,3,,180 m²,KSh 180 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-116990324,
1,116983145,4 Bedroom Townhouse,Karen,"Hillcrest Dr Nairobi, Karen, Nairobi","Elegant 4 Bedroom Townhouse To Let in Karen
Guide Rent: Ksh 220,000 per month
Set within",4,4,,300 m²,KSh 220 000,https://www.property24.co.ke/4-bedroom-townhouse-to-rent-in-karen-116983145,
1,116990701,3 Bedroom Apartment / Flat,Karen,"Marist Ln Nairobi, Karen, Nairobi","Modern 3-Bedroom Apartment To Let – Karen
Rent: KES 80,000 per month
Discover comfort and",3,2,,180 m²,KSh 80 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-karen-116990701,
1,116990723,3 Bedroom Apartment / Flat,Karen,"Ngong Rd Karen, Karen, Nairobi","3-Bedroom Apartment for Rent in Karen
Rent: KES 50,000 per Month
Nestled in the serene",3,2,,180 m²,KSh 50 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-karen-116990723,
1,116985088,5 Bedroom House,Runda,"Runda Kitisuru, Runda, Nairobi","Rent: KES 450,000 per month

Located in a secure, UN-approved gated community in the",5,5,3,315 m²,KSh 450 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-runda-116985088,Trisums Investments Co. Ltd
1,116984698,5 Bedroom House,Runda,"Runda Kitisuru, Runda, Nairobi","Rent: KES 450,000 per month
Nestled in the serene and prestigious neighborhood of Runda,",5,6,3,350 m²,KSh 450 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-runda-116984698,Trisums Investments Co. Ltd
1,116984606,5 Bedroom House,Runda,"Runda Kitisuru, Runda, Nairobi","Rent: KES 450,000 per month

Nestled in the serene and prestigious neighborhood of Runda,",5,6,3,356 m²,KSh 450 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-runda-116984606,Trisums Investments Co. Ltd
1,116982555,3 Bedroom House,Runda,"Runda Kitisuru, Runda, Nairobi","Rent: KES 200,000 per month

Experience comfort, privacy, and serenity in this",3,3,2,125 m²,KSh 200 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-runda-116982555,Trisums Investments Co. Ltd
1,116982777,3 Bedroom House,Runda,"Runda Kitisuru, Runda, Nairobi","Rent: KES 200,000 per month

Experience comfort, privacy, and serenity in this",3,3,2,125 m²,KSh 200 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-runda-116982777,Trisums Investments Co. Ltd
1,116980136,Commercial Property,Westlands,"Lantana Rd Nairobi, Westlands, Nairobi","Located in a serene and quiet part of Westlands, this spacious 5-bedroom house offers the",,,,254 m²,KSh 300 000,https://www.property24.co.ke/commercial-property-to-rent-in-westlands-116980136,Trisums Investments Co. Ltd
1,116990748,3 Bedroom Apartment / Flat,Karen,"Karen Karen, Karen, Nairobi","Newly Built 3 Bedroom Apartment To Let in Karen
Guide Rent: Ksh 150,000 per",3,3,,180 m²,KSh 150 000,https://www.property24.co.ke/3-bedroom-apartment-flat-to-rent-in-karen-116990748,
1,116983330,4 Bedroom House,Kiambu Road,"Kiambu Rd Kiambu, Kiambu Road, Nairobi","Runda
Modern Newly built 4 Bedrooms with Sq Villa To Let/Sale in the Leafy Suburbs of",4,5,4,650 m²,KSh 350 000,https://www.property24.co.ke/4-bedroom-house-to-rent-in-kiambu-road-116983330,
1,116990560,3 Bedroom House,Karen,"Kasuku Cl Nairobi, Karen, Nairobi","Charming 3-Bedroom Bungalow for Rent in Karen
Rent: KES 180,000 per month
Located within",3,2,,180 m²,KSh 180 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-116990560,
2,116990607,3 Bedroom House,Karen,"Karen Hardy Langata, Karen, Nairobi","Fully Furnished 3-Bedroom Bungalow for Rent – Karen Hardy, Mukoma Road
Located in the",3,3,,180 m²,KSh 325 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-116990607,
2,116990014,3 Bedroom House,Karen,"Rhino Park Rd Karen, Karen, Nairobi","3 Bedroom Rustic Home in Karen – Private Garden | KES 270,000 (Negotiable)
Nestled in the",3,2.5,,180 m²,KSh 270 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-116990014,
2,116991301,5 Bedroom House,Karen,"Karen Karen, Karen, Nairobi","Stunning 5 Bedroom Luxury Villa for Rent in Karen
Rent: Ksh 650,000 per month
Land Size:",5,5,,450 m²,KSh 650 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-karen-116991301,
2,116983390,4 Bedroom House,Garden Estate,"Garden Estate Roysambu, Garden Estate, Nairobi","GARDEN ESTATE /RIDGEWAYS/RUNDA  A  4-Bedroom Home for Rent
Discover unparalleled",4,5,4,300 m²,KSh 350 000,https://www.property24.co.ke/4-bedroom-house-to-rent-in-garden-estate-116983390,
2,116990423,3 Bedroom House,Karen,"Karen Karen, Karen, Nairobi","Charming 3-Bedroom Bungalow To Let in Karen
Rent: KES 150,000 per month
This",3,2,,180 m²,KSh 150 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-116990423,
2,116983255,4 Bedroom House,Karen,"Mukinduri Rd Nairobi, Karen, Nairobi","Elegant 4 Bedroom Villa for Rent in Karen
Rent: Ksh 350,000 | Service Charge: Ksh",4,4,2,300 m²,KSh 350 000,https://www.property24.co.ke/4-bedroom-house-to-rent-in-karen-116983255,
2,116982947,5 Bedroom House,Lavington,"Lavington Kileleshwa, Lavington, Nairobi","LAVINGTON Nairobi ???? 
Newly Built 5 bedroom house available for rent in Lavington. It's",5,6,5,650 m²,KSh 780 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-lavington-116982947,
2,116990625,3 Bedroom House,Karen,"Fana Rd Nairobi, Karen, Nairobi","Elegant 3-Bedroom Bungalow with Guest House on Half Acre – Karen
Rent: KES 200,000 per",3,3,,180 m²,KSh 200 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-116990625,
2,116977773,1 Bedroom Apartment / Flat,Kilimani,"Kindaruma Rd Kilimani, Kilimani, Nairobi","MODERN ONE BEDROOM APARTMENT FOR RENT IN KILIMANI-AirBnB Accepted

Strategically located",1,1,1,55 m²,KSh 55 000,https://www.property24.co.ke/1-bedroom-apartment-flat-to-rent-in-kilimani-116977773,
2,116990528,3 Bedroom House,Karen,"Kombe Road Nairobi, Karen, Nairobi","Charming 3-Bedroom Bungalow to Let in Karen – KES 150,000
Set in a serene and leafy part",3,2,,180 m²,KSh 150 000,https://www.property24.co.ke/3-bedroom-house-to-rent-in-karen-116990528,
2,116976690,5 Bedroom House,Karen,"Nzohe Road Nairobi, Karen, Nairobi","Modern 5-Bedroom Villa To Let in Karen
Rent: KES 450,000 per month
Discover this elegant",5,5,,450 m²,KSh 450 000,https://www.property24.co.ke/5-bedroom-house-to-rent-in-karen-116976690,
